不要
待機
移動
物を取る/置く
洗う
切る
卵を割る
混ぜる
IH操作
フライパンに手をかざす
フライパンに注ぐ
油を伸ばす
炒める
米を入れる
ネギを入れる
しゃんたん入れる
盛り付ける
切り始め
